[INFO] [AssyncProcessor] Starting Analysis with: data_path= runs_O2_6820_LHC23k4i_apass4-LHC23.txt Data Type old: qc_async Data Type new: qc_mc Pass old: apass4 Pass new: passMC MC period old:  MC period new: LHC23k4i
PrepareOutputFolders is finished!
[INFO][AssyncProcessor] Starting analysis with 1 runs!
Starting QA
[INFO] Init CcdApi with UserAgentID: flpits9.dyndns.cern.ch-1782998300-rHZJrt, Host: ali-qcdbmc-gpn.cern.ch:8083, Curl timeouts: upload:20 download:5
[INFO][CCDBServer] ===============  updating data base: ============== 
Data base at: ./inputs/database/db_qc_mc.db
creating table!: 
done, we have DB with 11550 entries
[INFO][CCDBServer] Update database for module: tracks with the newest timestamp: 1782991631185
[INFO][CCDBServer] for object name: qc_mc/ITS/MO/Tracks/NClustersPerTrackEta server returned response with length of: 10575694
[INFO][CCDBServer][UpdateModule][qc_mc ] New insertion with: runnumber=544122 pass=passMC module_name=tracks 1696558312716 timestamp_created= 1782991631185 periodName: LHC24e7
[INFO][CCDBServer][UpdateModule][qc_mc ] New insertion with: runnumber=544122 pass=passMC module_name=tracks 1696558312716 timestamp_created= 1782910553059 periodName: LHC24e7
[INFO][CCDBServer][UpdateModule][qc_mc ] New insertion with: runnumber=544122 pass=passMC module_name=tracks 1696558312716 timestamp_created= 1782845097847 periodName: LHC24e7
[INFO][CCDBServer][UpdateModule][qc_mc ] New insertion with: runnumber=544122 pass=passMC module_name=tracks 1696558312716 timestamp_created= 1782737140047 periodName: LHC24e7
[INFO][CCDBServer][UpdateModule][qc_mc ] New insertion with: runnumber=536683 pass=passMC module_name=tracks 1684555836360 timestamp_created= 1782722008443 periodName: LHC24e8
[INFO][CCDBServer][UpdateModule][qc_mc ] New insertion with: runnumber=544122 pass=passMC module_name=tracks 1696558312716 timestamp_created= 1782611262165 periodName: LHC24e7
[INFO][CCDBServer][UpdateModule][qc_mc ] New insertion with: runnumber=544122 pass=passMC module_name=tracks 1696558312716 timestamp_created= 1782553111642 periodName: LHC24e7
[INFO][CCDBServer][UpdateModule][qc_mc ] New insertion with: runnumber=570051 pass=passMC module_name=tracks 1773551288483 timestamp_created= 1782535180109 periodName: LHC26e9
[INFO][CCDBServer][UpdateModule][qc_mc ] New insertion with: runnumber=569980 pass=passMC module_name=tracks 1773369492124 timestamp_created= 1782483775926 periodName: LHC26e9
[INFO][CCDBServer][UpdateModule][qc_mc ] New insertion with: runnumber=569947 pass=passMC module_name=tracks 1773350783030 timestamp_created= 1782464450147 periodName: LHC26e9
[INFO][CCDBServer][UpdateModule][qc_mc ] New insertion with: runnumber=570012 pass=passMC module_name=tracks 1773458319432 timestamp_created= 1782463838128 periodName: LHC26e9
[INFO][CCDBServer][UpdateModule][qc_mc ] New insertion with: runnumber=569978 pass=passMC module_name=tracks 1773367321447 timestamp_created= 1782456637795 periodName: LHC26e9
[INFO][CCDBServer][UpdateModule][qc_mc ] New insertion with: runnumber=559348 pass=passMC module_name=tracks 1730281747465 timestamp_created= 1782454816875 periodName: LHC25b3a
[INFO][CCDBServer][UpdateModule][qc_mc ] New insertion with: runnumber=559348 pass=passMC module_name=tracks 1730281747465 timestamp_created= 1782454469413 periodName: LHC25b3a
[INFO][CCDBServer][UpdateModule][qc_mc ] New insertion with: runnumber=570049 pass=passMC module_name=tracks 1773527554332 timestamp_created= 1782453660707 periodName: LHC26e9
[INFO][CCDBServer][UpdateModule][qc_mc ] New insertion with: runnumber=570036 pass=passMC module_name=tracks 1773511331719 timestamp_created= 1782434482454 periodName: LHC26e9
[INFO][CCDBServer][UpdateModule][qc_mc ] New insertion with: runnumber=569945 pass=passMC module_name=tracks 1773347865637 timestamp_created= 1782409327500 periodName: LHC26e9
[INFO][CCDBServer][UpdateModule][qc_mc ] New insertion with: runnumber=544122 pass=passMC module_name=tracks 1696558312716 timestamp_created= 1782400775042 periodName: LHC24e7
[INFO][CCDBServer][UpdateModule][qc_mc ] New insertion with: runnumber=536683 pass=passMC module_name=tracks 1684555836360 timestamp_created= 1782375195842 periodName: LHC24e8
